,Mountain,Metres,Feet,Range,Location,Note,latlng
0,Mount Everest,8848.0,29029,Himalayas  ,Nepal/China,"Himalayas, Nepal/China","[27.987910000000056, 86.92529000000007]"
1,K2,8612.0,28255,Karakoram  ,Pakistan/China,"Karakoram, Pakistan/China","[35.88091000000003, 76.51334000000008]"
2,Kangchenjunga,8586.0,28169,Himalayas  ,Nepal/India,"Himalayas, Nepal/India","[27.703140000000076, 88.14739000000003]"
3,Lhotse,8516.0,27940,Himalayas  ,Nepal – Climbers ascend Lhotse Face in climbing Everest,"Himalayas, Nepal – Climbers ascend Lhotse Face in climbing Everest","[27.96204000000006, 86.93370000000004]"
4,Makalu,8485.0,27838,Himalayas  ,Nepal,"Himalayas, Nepal","[27.889880000000062, 87.08944000000008]"
5,Cho Oyu,8188.0,26864,Himalayas  ,"Nepal – Considered ""easiest"" eight-thousander","Himalayas, Nepal – Considered ""easiest"" eight-thousander","[28.09405000000004, 86.66080000000005]"
6,Dhaulagiri,8167.0,26795,Himalayas  ,Nepal – Presumed world's highest from 1808-1838,"Himalayas, Nepal – Presumed world's highest from 1808-1838","[28.696690000000046, 83.49257000000006]"
7,Manaslu,8163.0,26781,Himalayas  ,Nepal,"Himalayas, Nepal","[28.549920000000043, 84.55962000000005]"
8,Nanga Parbat,8126.0,26660,Himalayas  ,Pakistan,"Himalayas, Pakistan","[35.237310000000036, 74.58914000000004]"
9,Annapurna,8091.0,26545,Himalayas  ,Nepal – First eight-thousander to be climbed (1950),"Himalayas, Nepal – First eight-thousander to be climbed (1950)","[28.545930000000055, 83.92078000000004]"
10,Gasherbrum I (Hidden peak; K5),8080.0,26509,Karakoram  ,Pakistan/China – Originally named K5,"Karakoram, Pakistan/China – Originally named K5","[35.72443000000004, 76.69641000000007]"
11,Broad Peak,8051.0,26414,Karakoram  ,Pakistan/China,"Karakoram, Pakistan/China","[35.811668, 76.565002]"
12,Gasherbrum II (K4),8035.0,26362,Karakoram  ,Pakistan/China – Originally named K4,"Karakoram, Pakistan/China – Originally named K4","[35.75780000000003, 76.65298000000007]"
13,Shishapangma,8027.0,26335,Himalayas  ,China,"Himalayas, China","[28.353980000000035, 85.77807000000007]"
14,Gasherbrum III,7952.0,26089,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.75922000000003, 76.64165000000008]"
15,Gyachung Kang,7952.0,26089,Himalayas  ,Nepal (Khumbu)/China,"Himalayas, Nepal (Khumbu)/China","[28.098140000000058, 86.74440000000004]"
16,Annapurna II,7937.0,26040,Himalayas  ,Nepal,"Himalayas, Nepal","[28.534950000000038, 84.12219000000005]"
17,Gasherbrum IV (K3),7932.0,26024,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.76191000000006, 76.61595000000005]"
18,Himalchuli,7893.0,25896,Himalayas  ,"Manaslu, Nepal","Himalayas, Manaslu, Nepal","[28.43751000000003, 84.63341000000008]"
19,Distaghil Sar,7885.0,25869,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.32588000000004, 75.18807000000004]"
20,Ngadi Chuli,7871.0,25823,Himalayas  ,"Manaslu, Nepal","Himalayas, Manaslu, Nepal","[28.50279000000006, 84.56619000000006]"
21,Nuptse,7861.0,25791,Himalayas  ,"Everest Massif, Nepal","Himalayas, Everest Massif, Nepal","[27.967270000000042, 86.88696000000004]"
22,Khunyang Chhish,7852.0,25761,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.204360000000065, 75.20721000000003]"
23,Masherbrum (K1),7821.0,25659,Karakoram  ,Pakistan – Originally named K1,"Karakoram, Pakistan – Originally named K1","[35.641500000000065, 76.30563000000006]"
24,Nanda Devi,7816.0,25643,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[18.342944, 74.643216]"
25,Chomo Lonzo,7804.0,25604,Himalayas  ,"Makalu Massiff, Nepal/China","Himalayas, Makalu Massiff, Nepal/China","[27.930680000000052, 87.10776000000004]"
26,Batura Sar,7795.0,25574,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.51040000000006, 74.52250000000004]"
27,Kanjut Sar,7790.0,25558,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.20557000000008, 75.41672000000005]"
28,Rakaposhi,7788.0,25551,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.14252000000005, 74.48992000000004]"
29,Namcha Barwa,7782.0,25531,Himalayas  ,China,"Himalayas, China","[29.631440000000055, 95.05483000000004]"
30,Batura II,7762.0,25466,Karakoram  ,Pakistan,"Karakoram, Pakistan","[24.921233, 84.343915]"
31,Kamet,7756.0,25446,Himalayas  ,India (Uttarakhand),"Himalayas, India (Uttarakhand)","[33.209814, 75.35841]"
32,Saltoro Kangri,7742.0,25400,Karakoram  ,India (Jammu and Kashmir),"Karakoram, India (Jammu and Kashmir)","[35.399230000000045, 76.84898000000004]"
33,Batura III,7729.0,25358,Karakoram  ,Pakistan,"Karakoram, Pakistan","[44.00389000000007, 17.843330000000037]"
34,Jannu,7710.0,25295,Himalayas  ,"Kangchenjunga, Nepal","Himalayas, Kangchenjunga, Nepal","[31.0878801, 77.3379721]"
35,Tirich Mir,7708.0,25289,Hindu Kush  ,Pakistan – #1 in Hindu Kush,"Hindu Kush, Pakistan – #1 in Hindu Kush","[36.29641000000004, 72.00498000000005]"
36,Molamenqing,7703.0,25272,Himalayas  ,"Shishapangma group, China","Himalayas, Shishapangma group, China","[28.35519000000005, 85.80927000000008]"
37,Gurla Mandhata,7694.0,25243,Himalayas (Nalakankar)  ,China,"Himalayas (Nalakankar), China","[30.438310000000058, 81.29595000000006]"
38,Saser Kangri,7672.0,25171,Karakoram  ,Pakistan / India (Jammu and Kashmir),"Karakoram, Pakistan / India (Jammu and Kashmir)","[34.86678000000006, 77.75346000000008]"
39,Chogolisa,7665.0,25148,Karakoram  ,Pakistan,"Karakoram, Pakistan","[35.61373000000003, 76.57608000000005]"
40,Kongur Tagh,7649.0,25095,Pamir or Kunlun Mountains  ,China,"Pamir or Kunlun Mountains, China","[38.59333000000004, 75.31257000000005]"
41,Shispare,7611.0,24970,Karakoram  ,Pakistan,"Karakoram, Pakistan","[36.44079000000005, 74.68094000000008]"
42,Silberzacken,7597.0,24925,Himalaya  ,Pakistan,"Himalaya, Pakistan","[51.496463, 7.375592]"
43,Changtse,7583.0,24879,Himalayas  ,"Everest Massif, China","Himalayas, Everest Massif, China","[28.024980000000028, 86.91494000000006]"
44,Trivor,7577.0,24859,Karakoram  ,Karakoram – Pakistan,"Karakoram, Karakoram – Pakistan","[36.28825000000006, 75.08357000000007]"
45,Gangkhar Puensum,7570.0,24836,Himalayas  ,Bhutan/China,"Himalayas, Bhutan/China","[28.049140000000023, 90.45477000000005]"
46,Gongga Shan,7556.0,24790,Daxue Shan  ,"Sichuan, China","Daxue Shan, Sichuan, China","[29.596040000000073, 101.87905000000006]"
